,index,0
0,COUNTY,TurkanaMarsabitManderaWajirWest PokotSamburuIsioloBaringoKeiyo-MarakwetTrans NzoiaBungomaGarissaUasin GishuKakamegaLaikipiaBusiaMeruNandiSiayaNakuruVihigaNyandaruaTharakaKerichoKisumuNyeriTana RiverKituiKirinyagaEmbuHoma BayBometNyamiraNarokKisiiMurang'aMigoriKiambuMachakosKajiadoNairobiMakueniLamuKilifiTaita TavetaKwaleMombasa
1,Year:,38375.38652468736
2,Pasture condition:,41.32780310778086
3,Browse condition:,43.72699030668996
4,Cattle body condition:,44.91794951021869
5,Goats body condition:,46.43879565003037
6,_id,4682566469.014807
7,_validation_status,0.0
8,_notes,0.0
9,_submitted_by,0.0
10,_tags,0.0
11,_index,6401.524093699733
